ASIN,Title,Price,Original Price,Currency,Star Rating,Number of Ratings,Product URL,Image URL,Number of Offers,Minimum Offer Price,Best Seller,Amazon Choice,Prime Eligible,Climate Pledge Friendly,Sales Volume,Delivery Info,Has Variations
B0CSB22F9C,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",$153.02,,USD,4.2,9,https://www.amazon.com/dp/B0CSB22F9C,https://m.media-amazon.com/images/I/51rp0nqaPoL._AC_UY654_FMwebp_QL65_.jpg,1,$153.02,FALSE,FALSE,FALSE,FALSE,5K+ bought in past month,FREE delivery,FALSE
B0CWHXVLXG,Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green,$149.99,$199.99,USD,4.1,5,https://www.amazon.com/dp/B0CWHXVLXG,https://m.media-amazon.com/images/I/71Sbx9zQN3L._AC_UY654_FMwebp_QL65_.jpg,2,$140.15,FALSE,FALSE,TRUE,FALSE,3K+ bought in past month,"FREE delivery Wed, Dec 18 Or fastest delivery Sat, Dec 14 Arrives before Christmas",TRUE
B0CSB14R7J,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Blue Black,$142.96,$149.98,USD,4.3,8,https://www.amazon.com/dp/B0CSB14R7J,https://m.media-amazon.com/images/I/515zGEaozeL._AC_UY654_FMwebp_QL65_.jpg,18,$134.99,FALSE,FALSE,FALSE,FALSE,3K+ bought in past month,FREE delivery,FALSE
B08PP5MSVB,"Apple iPhone 12, 64GB, Black - Fully Unlocked (Renewed)",$279.95,,USD,4.1,9,https://www.amazon.com/dp/B08PP5MSVB,https://m.media-amazon.com/images/I/51fYXSnSu9L._AC_UY654_FMwebp_QL65_.jpg,18,$233.75,TRUE,FALSE,FALSE,FALSE,6K+ bought in past month,FREE delivery Dec 17 - 19 Arrives before Christmas,TRUE
B0CP6DDN1H,Moto G Play | 2024 | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue,$109.99,$149.99,USD,4,6,https://www.amazon.com/dp/B0CP6DDN1H,https://m.media-amazon.com/images/I/61xk4XNRktL._AC_UY654_FMwebp_QL65_.jpg,3,$93.72,FALSE,FALSE,TRUE,FALSE,6K+ bought in past month,"FREE delivery Tue, Dec 17 Or fastest delivery Sat, Dec 14 Arrives before Christmas",TRUE
B0CTW8TXGH,Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,$49.88,,USD,4.2,8,https://www.amazon.com/dp/B0CTW8TXGH,https://m.media-amazon.com/images/I/71CxUvG46rL._AC_UY654_FMwebp_QL65_.jpg,1,$49.88,FALSE,FALSE,TRUE,FALSE,2K+ bought in past month,"FREE delivery Wed, Dec 18 Or fastest delivery Sat, Dec 14 Arrives before Christmas",FALSE
B0CYQ916ZY,"Google Pixel 8a - Unlocked Android Phone with Google AI, Advanced Pixel Camera and 24-Hour Battery - Obsidian - 128 GB",$399.00,$499.00,USD,4.2,9,https://www.amazon.com/dp/B0CYQ916ZY,https://m.media-amazon.com/images/I/71n1Bn04lJL._AC_UY654_FMwebp_QL65_.jpg,4,$349.00,FALSE,FALSE,TRUE,TRUE,4K+ bought in past month,"FREE delivery Wed, Dec 18 Or fastest delivery Sat, Dec 14 Arrives before Christmas",TRUE
B07R5CJDD7,Google - Pixel 3a X-Large with 64GB Memory Cell Phone (Unlocked) - Just Black (G020C),$119.72,$129.95,USD,4.3,7,https://www.amazon.com/dp/B07R5CJDD7,https://m.media-amazon.com/images/I/71Trs2V5otL._AC_UY654_FMwebp_QL65_.jpg,21,$89.99,FALSE,FALSE,TRUE,FALSE,200+ bought in past month,"FREE delivery Wed, Dec 18 Or fastest delivery Sat, Dec 14 Arrives before ChristmasOnly 11 left in stock - order soon.",TRUE
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",$70.00,$99.99,USD,3.8,8,https://www.amazon.com/dp/B09SM24S8C,https://m.media-amazon.com/images/I/51m45B3Yy+L._AC_UY654_FMwebp_QL65_.jpg,15,$59.00,FALSE,FALSE,TRUE,FALSE,2K+ bought in past month,"FREE delivery Wed, Dec 18 Or fastest delivery Sat, Dec 14 Arrives before ChristmasOnly 6 left in stock - order soon.",TRUE
B09LNP1ZHT,"Apple iPhone 13, 128GB, Pink - Unlocked (Renewed)",$374.86,$397.00,USD,4.1,9,https://www.amazon.com/dp/B09LNP1ZHT,https://m.media-amazon.com/images/I/516QZcrv+dL._AC_UY654_FMwebp_QL65_.jpg,15,$325.86,FALSE,FALSE,FALSE,TRUE,1K+ bought in past month,FREE delivery Dec 18 - 23 Arrives before ChristmasOnly 20 left in stock - order soon.,TRUE
B0DCLGFD1D,"SAMSUNG Galaxy S24 FE AI Phone, 256GB Unlocked Android Smartphone, High-Res 50MP Camera, Long Battery Life, Brighter Display Screen, US Version, 2024, US 1 Yr Manufacturer Warranty, Graphite",$559.99,$709.99,USD,4.6,0,https://www.amazon.com/dp/B0DCLGFD1D,https://m.media-amazon.com/images/I/61uakkLoHxL._AC_UY654_FMwebp_QL65_.jpg,2,$529.64,FALSE,FALSE,FALSE,FALSE,3K+ bought in past month,FREE delivery,TRUE
B09VD33WHW,"SAMSUNG Galaxy S22 Ultra 5G, US Version, 128GB, Black - Unlocked (Renewed)",$398.48,,USD,3.8,0,https://www.amazon.com/dp/B09VD33WHW,https://m.media-amazon.com/images/I/613Fp7fknhL._AC_UY654_FMwebp_QL65_.jpg,16,$330.00,FALSE,FALSE,FALSE,FALSE,1K+ bought in past month,"FREE delivery Wed, Dec 18 Or fastest delivery Tue, Dec 17 Arrives before ChristmasOnly 10 left in stock - order soon.",TRUE
B0C1Q3MVBP,"Samsung Galaxy A14 5G A Series, Factory Unlocked, 64GB, US Version, Black (Renewed)",$99.99,$168.00,USD,3.7,0,https://www.amazon.com/dp/B0C1Q3MVBP,https://m.media-amazon.com/images/I/71L1ezoIH9L._AC_UY654_FMwebp_QL65_.jpg,26,$79.99,FALSE,FALSE,FALSE,FALSE,2K+ bought in past month,"FREE delivery Sat, Dec 14 Or fastest delivery Tomorrow, Dec 13 Arrives before Christmas",FALSE
B0DLL7354W,C24 | 2024 | All-Day Battery | GSM Unlocked | 5.5” Display | 2/16GB | 2300mAh | US Version | US Warranty | White,$39.99,,USD,3.3,0,https://www.amazon.com/dp/B0DLL7354W,https://m.media-amazon.com/images/I/515cfOcCNyL._AC_UY654_FMwebp_QL65_.jpg,1,$39.99,FALSE,FALSE,TRUE,FALSE,1K+ bought in past month,"FREE delivery Wed, Dec 18 Or fastest delivery Sat, Dec 14 Arrives before Christmas",FALSE
B0BN71VW28,"Apple iPhone 14, 128GB, Purple - Unlocked (Renewed)",$411.45,$439.90,USD,4.1,0,https://www.amazon.com/dp/B0BN71VW28,https://m.media-amazon.com/images/I/618SeQGaMpL._AC_UY654_FMwebp_QL65_.jpg,22,$371.36,FALSE,FALSE,FALSE,FALSE,2K+ bought in past month,"FREE delivery Fri, Dec 20 Or fastest delivery Tomorrow, Dec 13 Arrives before Christmas",TRUE
B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",$59.99,,USD,4.4,0,https://www.amazon.com/dp/B0BZG14KFJ,https://m.media-amazon.com/images/I/81nkYlfA5ZL._AC_UY654_FMwebp_QL65_.jpg,3,$24.97,FALSE,FALSE,TRUE,FALSE,7K+ bought in past month,"FREE delivery Wed, Dec 18 Or fastest delivery Sat, Dec 14 Arrives before Christmas",FALSE
